,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Player
1045,0.06301835655823879,0.03287037037037037,0.3277310924369748,0.2290249433106576,0.05680664892887511,0.06750941064104725,0.04975231379462318,0.23427155522260026,0.15196207532262312,0.2801724137931034,0.31316725978647686,0.14193141540000437,0.15010188700312638,0.18803017763721813,0.3357284042211567,0.34972677595628415,0.16576651433319486,0.2789808917197452,0.22717391304347825,0.28468884588976967,0.2952979744389718,0.18179578450494904,0.1055512118842846,0.31380337636544187,0.28498727735368956,0.1659947170860559,0.12089486068956111,0.22456569903991377,0.024355433477380905,0.031512605042016806,0.02486355366889024,0.38875305623471884,0.17057902973395933,0.04995042141794744,0.06170321264660887,0.025489984297239136,Mende.Z
1046,0.09783155573792607,0.03209876543209877,0.20378151260504201,0.1564625850340136,0.08160298433771292,0.06309343221529298,0.08845130013221683,0.2928490046604584,0.11153542270213326,0.173132183908046,0.17615658362989323,0.18583512731859006,0.13432335864225098,0.26445334436792484,0.050139385651167684,0.034972677595628415,0.10469464063149149,0.14777070063694267,0.04285714285714286,0.03857437113788153,0.047416182316329596,0.14369940302108203,0.0537529319781079,0.20953326713008935,0.2111959287531807,0.11459057416933129,0.059202673669133454,0.19691415112542332,0.00651791124265969,0.0056022408963585435,0.0072771376591873865,0.269559902200489,0.13458528951486698,0.010163609320773424,0.009765425803161653,0.006397421091549588,bonlad
1047,0.026339668508907725,0.013580246913580247,0.2300420168067227,0.10657596371882086,0.050168691883588884,0.04483397943704703,0.022603790215954163,0.24893694320005086,0.13760863839873586,0.22629310344827586,0.2064056939501779,0.19498988844673495,0.17934206118803037,0.1952309874974138,0.14709684742046572,0.0907103825136612,0.11258828417116742,0.1159235668789809,0.1408385093167702,0.13962923662692717,0.12905626910346354,0.26246664800396313,0.15813135261923378,0.2671300893743793,0.2111959287531807,0.33901014875573476,0.2184633223067217,0.3106075223388047,0.03982031191304118,0.04831932773109244,0.05336567616737417,0.2671149144254279,0.1643192488262911,0.08031730292513634,0.06886792452830189,0.04171617052035127,Twitch igzufn
1048,0.32081517652400837,0.04398148148148148,0.08718487394957984,0.049886621315192746,0.3596565817264174,0.13054665992471487,0.33006258263552224,0.07075365297765501,0.024493020805899397,0.05531609195402298,0.0889679715302491,0.07973992650096767,0.020572800357302367,0.0699723642597464,0.052492470129668796,0.017486338797814208,0.03863730785209805,0.05605095541401275,0.0562111801242236,0.020161038636789214,0.05655417069192151,0.12808038921599196,0.027756059421422986,0.05461767626613703,0.06615776081424937,0.18618796051716946,0.03189475838079324,0.19606251538599725,0.11146194910649562,0.015406162464985995,0.010309278350515464,0.1723716381418093,0.028169014084507043,0.15332176499752107,0.09510453850076492,0.06883458927725758,Mason3FN
1049,0.2589155222415774,0.03287037037037037,0.13970588235294118,0.043083900226757364,0.3063609183421565,0.17351536603179954,0.26563596297928604,0.02241276467211151,0.006320779562812747,0.11422413793103448,0.09964412811387899,0.017678909256963925,0.009218680214381419,0.02228593385156504,0.36044409624946017,0.18907103825136612,0.08184461985874532,0.09554140127388536,0.35590062111801246,0.2609075588290369,0.36871862280854567,0.18175804184238817,0.03948397185301016,0.15690168818272093,0.10178117048346057,0.17544835256499375,0.07240903045390991,0.2701814383329231,0.02489083607680155,0.0014005602240896359,0.001212856276531231,0.31968215158924207,0.01564945226917058,0.02454139811601388,0.028531361550229475,0.01672468656790821,shein 32
1050,0.10149042586783649,0.014351851851851852,0.13655462184873948,0.04081632653061225,0.14331952711413445,0.07967863363110286,0.10201145879241956,0.05729679109427887,0.024756386621016594,0.1372126436781609,0.10142348754448398,0.07123752364798748,0.04326010495757034,0.05028374663789791,0.590599289091654,0.2633879781420765,0.08516825924387203,0.07261146496815288,0.6524844720496895,0.5062730166656264,0.5962972934450375,0.27742203579749297,0.06860828772478499,0.16981132075471697,0.09923664122137404,0.31464618378979564,0.1396429424001637,0.3935222456569904,0.0716739459710057,0.047619047619047616,0.04244996967859309,0.16259168704156482,0.06103286384976526,0.21455131383242437,0.12312595614482408,0.06492966990968835,IamThedd
1051,0.0895130268750084,0.03611111111111111,0.12184873949579833,0.163265306122449,0.08854266670323943,0.041946176751502896,0.0922767739092111,0.12624076407950777,0.05530682117461154,0.1336206896551724,0.1868327402135231,0.08611129232174311,0.04824977668602054,0.12149750243844767,0.1212156864916341,0.10163934426229508,0.0901537183215621,0.20636942675159237,0.08881987577639752,0.06497721740215967,0.1233390874681279,0.33790266110427064,0.1075058639562158,0.11717974180734855,0.17048346055979646,0.28510357291811483,0.08844592981618525,0.5084664568626538,0.05186789607548356,0.0021008403361344537,0.0018192844147968466,0.4853300733496333,0.00782472613458529,0.07895389191869112,0.13414074451810304,0.06335108548450079,Tomahok21
1052,0.19225129856495513,0.02021604938271605,0.11659663865546219,0.05215419501133786,0.15835093397701402,0.0757008820720265,0.19121727633318644,0.14735406005849241,0.042928627864103244,0.07255747126436782,0.12277580071174377,0.10192010785656817,0.03330169718624386,0.14931797357609436,0.17088030274508065,0.08961748633879782,0.06896551724137931,0.11082802547770701,0.14580745341614906,0.08875850446289245,0.16060370904138224,0.1670890430964308,0.022478498827208756,0.09632571996027804,0.06615776081424937,0.1512234116502155,0.04112812468028511,0.2584714469158145,0.6497274652046005,0.15476190476190477,0.01758641600970285,0.45171149144254286,0.09233176838810643,0.4635597421913733,0.6854156042835289,0.39742109154958827,JAY REMMY
1053,0.21247127701246352,0.02021604938271605,0.10609243697478993,0.031746031746031744,0.26121183860438324,0.11495027810551153,0.21469546055531072,0.11269249322477635,0.023966289175665,0.08836206896551724,0.07117437722419928,0.09896275034248811,0.04014766636891469,0.11558980876658884,0.2294402704109316,0.08743169398907104,0.05650186954715414,0.05222929936305732,0.3052795031055901,0.1602896198739155,0.24922794292320605,0.16679658487698928,0.027365129007036748,0.10824230387288977,0.06615776081424937,0.18799527318226053,0.05685809773897624,0.26036101371266607,0.07151009431342437,0.008403361344537815,0.022437841115827774,0.09168704156479218,0.012519561815336464,0.1743926623698562,0.06177970423253442,0.09431626523541678,SAd NtinakiDim
1054,0.08533285419206009,0.007561728395061728,0.10399159663865547,0.027210884353741496,0.10752393230380997,0.04674419911230968,0.08584927280740413,0.3442848950250356,0.14313932051619702,0.1221264367816092,0.17259786476868325,0.24378628742905606,0.1263259267530147,0.29423565749416253,0.18947866721295137,0.10163934426229508,0.06190278354798504,0.089171974522293,0.20543478260869566,0.11416266150677236,0.1824747002834835,0.057779085178551244,0.013096168881939015,0.10724925521350545,0.09669211195928754,0.060197414152648406,0.017742045493298775,0.08275504161704336,0.03564632555606355,0.04411764705882353,0.06367495451788963,0.1308068459657702,0.1111111111111111,0.10882498760535449,0.049694033656297806,0.03620774171035468,Junglah
